"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,1154.00,"Southwest Airlines Co.","DSM","Des Moines, IA","Iowa","TUS","Tucson, AZ","Arizona",
1.00,2068.00,"Southwest Airlines Co.","DTW","Detroit, MI","Michigan","OAK","Oakland, CA","California",
1.00,1120.00,"Southwest Airlines Co.","ECP","Panama City, FL","Florida","PVD","Providence, RI","Rhode Island",
1.00,453.00,"Southwest Airlines Co.","FLL","Fort Lauderdale, FL","Florida","ECP","Panama City, FL","Florida",
1.00,1892.00,"Southwest Airlines Co.","GEG","Spokane, WA","Washington","MSY","New Orleans, LA","Louisiana",
1.00,524.00,"Southwest Airlines Co.","GRR","Grand Rapids, MI","Michigan","DCA","Washington, DC","Virginia",
1.00,948.00,"Southwest Airlines Co.","HOU","Houston, TX","Texas","PBI","West Palm Beach/Palm Beach, FL","Florida",
1.00,1679.00,"Southwest Airlines Co.","HOU","Houston, TX","Texas","PWM","Portland, ME","Maine",
1.00,917.00,"Southwest Airlines Co.","HRL","Harlingen/San Benito, TX","Texas","MCI","Kansas City, MO","Missouri",
1.00,2253.00,"Southwest Airlines Co.","IAD","Washington, DC","Virginia","SAN","San Diego, CA","California",
1.00,2358.00,"Southwest Airlines Co.","IAD","Washington, DC","Virginia","SMF","Sacramento, CA","California",
1.00,1091.00,"Southwest Airlines Co.","ICT","Wichita, KS","Kansas","TPA","Tampa, FL","Florida",
1.00,500.00,"Southwest Airlines Co.","IND","Indianapolis, IN","Indiana","DCA","Washington, DC","Virginia",
1.00,222.00,"Southwest Airlines Co.","IND","Indianapolis, IN","Indiana","GRR","Grand Rapids, MI","Michigan",
1.00,1465.00,"Southwest Airlines Co.","ISP","Islip, NY","New York","HOU","Houston, TX","Texas",
1.00,1624.00,"Southwest Airlines Co.","ISP","Islip, NY","New York","SAT","San Antonio, TX","Texas",
1.00,1850.00,"Southwest Airlines Co.","LAS","Las Vegas, NV","Nevada","GSP","Greer, SC","South Carolina",
1.00,1416.00,"Southwest Airlines Co.","LAS","Las Vegas, NV","Nevada","MEM","Memphis, TN","Tennessee",
1.00,1900.00,"Southwest Airlines Co.","LAX","Los Angeles, CA","California","CVG","Cincinnati, OH","Kentucky",
1.00,1425.00,"Southwest Airlines Co.","LBB","Lubbock, TX","Texas","DCA","Washington, DC","Virginia",
1.00,1264.00,"Southwest Airlines Co.","LBB","Lubbock, TX","Texas","GEG","Spokane, WA","Washington",
1.00,954.00,"Southwest Airlines Co.","LBB","Lubbock, TX","Texas","LAX","Los Angeles, CA","California",
1.00,885.00,"Southwest Airlines Co.","LBB","Lubbock, TX","Texas","PNS","Pensacola, FL","Florida",
1.00,729.00,"Southwest Airlines Co.","LBB","Lubbock, TX","Texas","STL","St. Louis, MO","Missouri",
1.00,866.00,"Southwest Airlines Co.","LGA","New York, NY","New York","BHM","Birmingham, AL","Alabama",
1.00,1260.00,"Southwest Airlines Co.","LIT","Little Rock, AR","Arkansas","BOS","Boston, MA","Massachusetts",
1.00,1681.00,"Southwest Airlines Co.","LIT","Little Rock, AR","Arkansas","OAK","Oakland, CA","California",
1.00,332.00,"Southwest Airlines Co.","MAF","Midland/Odessa, TX","Texas","ABQ","Albuquerque, NM","New Mexico",
1.00,1107.00,"Southwest Airlines Co.","MAF","Midland/Odessa, TX","Texas","BOI","Boise, ID","Idaho",
1.00,1516.00,"Southwest Airlines Co.","MAF","Midland/Odessa, TX","Texas","BWI","Baltimore, MD","Maryland",
1.00,1684.00,"Southwest Airlines Co.","MAF","Midland/Odessa, TX","Texas","LGA","New York, NY","New York",
1.00,581.00,"Southwest Airlines Co.","MAF","Midland/Odessa, TX","Texas","PHX","Phoenix, AZ","Arizona",
1.00,381.00,"Southwest Airlines Co.","MEM","Memphis, TN","Tennessee","IND","Indianapolis, IN","Indiana",
1.00,963.00,"Southwest Airlines Co.","MEM","Memphis, TN","Tennessee","LGA","New York, NY","New York",
1.00,741.00,"Southwest Airlines Co.","MHT","Manchester, NH","New Hampshire","CVG","Cincinnati, OH","Kentucky",
1.00,171.00,"Southwest Airlines Co.","MHT","Manchester, NH","New Hampshire","ISP","Islip, NY","New York",
1.00,1039.00,"Southwest Airlines Co.","MSP","Minneapolis, MN","Minnesota","MSY","New Orleans, LA","Louisiana",
1.00,1494.00,"Southwest Airlines Co.","MSP","Minneapolis, MN","Minnesota","ONT","Ontario, CA","California",
1.00,615.00,"Southwest Airlines Co.","MSP","Minneapolis, MN","Minnesota","TUL","Tulsa, OK","Oklahoma",
1.00,1706.00,"Southwest Airlines Co.","MSY","New Orleans, LA","Louisiana","BOI","Boise, ID","Idaho",
1.00,268.00,"Southwest Airlines Co.","MSY","New Orleans, LA","Louisiana","ECP","Panama City, FL","Florida",
1.00,965.00,"Southwest Airlines Co.","MSY","New Orleans, LA","Louisiana","ELP","El Paso, TX","Texas",
1.00,1218.00,"Southwest Airlines Co.","MSY","New Orleans, LA","Louisiana","ISP","Islip, NY","New York",
1.00,1638.00,"Southwest Airlines Co.","OAK","Oakland, CA","California","HRL","Harlingen/San Benito, TX","Texas",
1.00,1136.00,"Southwest Airlines Co.","OKC","Oklahoma City, OK","Oklahoma","BUF","Buffalo, NY","New York",
1.00,913.00,"Southwest Airlines Co.","OMA","Omaha, NE","Nebraska","CLT","Charlotte, NC","North Carolina",
1.00,517.00,"Southwest Airlines Co.","OMA","Omaha, NE","Nebraska","IND","Indianapolis, IN","Indiana",
